구분,차종,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
대전남부순환선,중형차,916873,882733,816488,635606,584469,640466,625783,584120,598457,587322,600798,593755,586302,580931
대전남부순환선,대형차,1120390,997440,1000946,889700,879145,1193771,1242279,1227184,1302963,1371171,1452300,1538187,1624047,1640076
상주영천선,소형차,,,,,,,,,,,,,4746883,10535691
상주영천선,중형차,,,,,,,,,,,,,120904,254727
상주영천선,대형차,,,,,,,,,,,,,1682674,3608295
수도권제2순환선,소형차,,,,,594077,7108210,9037451,11681519,11679130,12114745,13099499,16387443,16498928,17314271
수도권제2순환선,중형차,,,,,43538,453872,536975,608256,590994,560166,562223,613106,578678,585015
수도권제2순환선,대형차,,,,,109296,1038301,1231604,1516455,1512011,1498676,1675122,1998557,1939300,1974719
중부내륙선의 지선,소형차,17783031,17109611,16703947,15208452,15542123,19413025,22973310,26907159,28977458,29849714,30383868,32711624,37197077,38907986
중부내륙선의 지선,중형차,2137738,1908032,1653768,1200376,1111345,1454019,1682690,1621431,1606089,1504961,1431425,1371023,1370718,1350964
중부내륙선의 지선,대형차,2963657,2333601,2302767,1690159,1676901,2456048,3006750,3338034,3564181,3678760,3881762,4104449,4451007,4437434
중앙선의 지선,소형차,25877602,34169565,40468397,36124095,37787506,39822316,39609241,46007093,47507544,48034766,57082408,63336221,66398995,68723156
중앙선의 지선,중형차,3241136,3821651,4110118,3332615,3095784,3418880,3300694,3165397,3003359,2727347,2868997,2834185,2767447,2732305
중앙선의 지선,대형차,4873689,5754103,6669887,6270842,6152851,7517915,7866064,8471386,8660288,8724467,9765657,10287033,10703400,10249653
무안광주선,소형차,,,88985,4448583,6902098,8299843,9108683,10256653,10197698,9908470,12351932,13763872,16780350,20322184
무안광주선,중형차,,,4970,177912,233967,271687,288752,296791,275697,239526,311257,344237,373150,453199
무안광주선,대형차,,,13146,345650,497952,631643,751594,805261,781361,714196,957266,1158684,1405803,1763382
