노선명,휴게소명,소재지,부지면적(제곱미터),대형,소형,장애인,운영형태,1일 이용객수,1일 차량 통행량
중부선,마장,경기 이천시 마장면 중부고속도로 82 마장(통영+하남)휴게소,103000,35,640,18,민자,10596,5611
대전통영선,산청(대전),경남 산청군 단성면 통영대전고속도로 76 산청(대전)휴게소,30853,34,132,4,임대,6012,2788
대전통영선,산청(통영),경남 산청군 단성면 통영대전고속도로 77 산청(통영)휴게소,26830,45,82,3,임대,5603,2831
중부선,오창(남이),충북 청주시 청원구 오창읍 중부고속도로 21 오창(남이)휴게소,14123,26,104,4,임대,7973,3994
중부선,오창(하남),충북 청주시 청원구 오창읍 중부고속도로 20 오창(하남)휴게소,16297,43,115,6,임대,7751,3457
중부선,음성(남이),충북 음성군 삼성면 중부고속도로 51 음성(남이)휴게소,66714,105,216,12,임대,7567,4960
중부선,음성(하남),충북 음성군 삼성면 중부고속도로 52 음성(하남)휴게소,33606,160,80,8,임대,7642,2717
중부선,이천(남이),경기 이천시 마장면 중부대로 609번길 244-35 이천(통영)휴게소,17409,12,110,4,임대,2999,2043
중부선,이천(하남),경기 이천시 신둔면 서이천로853번길 346-129 이천(하남)휴게소,69794,78,149,11,임대,10785,5528
중부선,하남드림,경기 하남시 중부고속도로 117-1 하남드림휴게소,29882,24,680,21,임대,13632,10044
대전통영선,함양(대전),경남 함양군 지곡면 효산길 23-11 함양(하남)휴게소,20787,29,58,4,임대,4964,1812
대전통영선,함양(통영),경남 함양군 지곡면 효산길 23-31 함양(통영)휴게소,29993,27,86,4,임대,5957,2359
평택제천선,금왕(제천),충북 음성군 금왕읍 평택제천고속도로 70 금왕(제천)휴게소,42829,37,52,4,임대,5425,3666
평택제천선,금왕(평택),충북 음성군 금왕읍 평택제천고속도로 69 금왕(평택)휴게소,42627,41,55,4,임대,5275,3258
평택제천선,안성맞춤(제천),경기 안성시 서운면 평택제천고속도로 40 안성맞춤(제천)휴게소,66590,67,101,5,임대,7261,4156
평택제천선,안성맞춤(평택),경기 안성시 서운면 평택제천고속도로 41 안성맞춤(평택)휴게소,59766,59,108,5,임대,6546,3625
평택제천선,천등산(제천),충북 충주시 산척면 평택제천고속도로 106 천등산(제천)휴게소,28016,44,77,3,임대,5199,2267
평택제천선,천등산(평택),충북 충주시 산척면 평택제천고속도로 109 천등산(평택)휴게소,16876,26,85,3,임대,3860,1985
평택제천선,평택,경기도 평택시 청북읍 평택제천고속도로6 평택복합휴게소,100182,181,534,20,민자,,8024
중부내륙선,괴산(양평),충북 괴산군 장연면 중부내륙고속도로 204 괴산(양평)휴게소,38776,33,150,6,임대,7299,3429
중부내륙선,괴산(창원),충북 괴산군 장연면 중부내륙고속도로 205 괴산(창원)휴게소,37162,27,232,5,임대,4710,3345
중부내륙선,남성주참외(양평),경북 성주군 용암면 중부내륙고속도로 76 남성주(양평)휴게소,39978,38,98,3,임대,7150,2569
중부내륙선,남성주참외(창원),경북 성주군 선남면 중부내륙고속도로 77 남성주(창원)휴게소,38477,49,95,3,임대,5208,2216
중부내륙선,문경(양평),경북 문경 중부내륙고속도로 174 문경(양평)휴게소,58347,102,193,6,임대,6268,5791
중부내륙선,문경(창원),경북 문경 중부내륙고속도로 173 문경(창원)휴게소,74440,131,131,8,임대,7762,5735
중부내륙선,서여주(양평),경기 여주시 능서면 중부내륙고속도로 272 서여주(양평)휴게소,58111,18,50,2,임대,2561,1283
중부내륙선,서여주(창원),경기 여주시 능서면 중부내륙고속도로 271 서여주(마산)휴게소,51095,18,45,2,임대,1901,1191
중부내륙선,선산(양평),경북 구미 옥성 중부내륙고속도로 128 선산(양평)휴게소,28943,53,149,6,민자,18577,3983
중부내륙선,선산(창원),경북 구미 옥성 중부내륙고속도로 129 선산(창원)휴게소,32460,196,63,6,민자,17814,4132
중부내륙선,성주(양평),경북 성주군 초전면 중부내륙고속도로 98,38631,74,108,6,임대,,2240
중부내륙선,성주(창원),경북 성주군 초전면 중부내륙고속도로 97,38848,82,100,6,임대,,2033
중부내륙선,영산(창원),경남 창녕군 영산면 장척호수길 56-110 영산(창원)휴게소,20609,31,99,6,임대,7314,3805
중부내륙선,충주(양평),충북 충주시 중앙탑면 중부내륙고속도로 230-1 충주(양평)휴게소,63390,66,163,8,임대,8571,4639
중부내륙선,충주(창원),충북 충주시 중앙탑면 중부내륙고속도로 231 충주(창원)휴게소,70169,52,200,9,임대,7206,5539
중부내륙선,칠서(양평),경남 함안군 칠서면 계룡로 122-1 칠서(양평)휴게소,22467,24,99,5,임대,6138,3476
영동선,강릉(강릉),강원 강릉시 성산면 영동고속도로 232강릉(강릉)휴게소,85218,46,194,4,임대,4257,1818
영동선,강릉(인천),강원 강릉시 성산면 영동고속도로 231강릉(서창)휴게소,71026,43,225,6,임대,3097,1636
영동선,덕평,경기 이천시 마장면 덕이로 154번길 287-76,182761,88,726,30,민자,7879,7616
영동선,문막(강릉),강원 원주 문막읍 원문로 1234문막(강릉)휴게소,39273,26,220,5,임대,5845,2814
영동선,문막(인천),강원 원주 문막읍 개나루길 13 문막(인천)휴게소,19988,32,167,14,임대,4171,2763
영동선,안산,경기 안산시 단원구 영동고속도로 15 안산휴게소,38138,20,408,12,민자,,8701
영동선,여주(강릉),경기 여주시 가남읍 여주남로 722 여주(강릉)휴게소,33530,81,297,28,임대,18032,7280
영동선,여주(인천),경기 여주시 가남읍 화평길 116 여주(서창)휴게소,47973,12,230,5,임대,11043,6431
영동선,용인(강릉),경기 용인시 처인구 주북로94번길 30-1 용인(강릉) 휴게소,33223,31,249,7,임대,15870,6881
영동선,용인(인천),경기 용인시 처인구 주북로 66-14 용인(서창)휴게소,32862,29,134,7,임대,10372,6619
영동선,평창(강릉),강원 평창군 용평면 경강로 2159-58평창(강릉)휴게소,24871,13,177,5,임대,5071,2251
