dateKind,dateName,isHoliday,locdate,seq,remarks
01,신정,Y,20170101,1,
01,설날,Y,20170127,1,
01,설날,Y,20170128,1,
01,설날,Y,20170129,1,
01,대체공휴일,Y,20170130,1,
01,삼일절,Y,20170301,1,
01,석가탄신일,Y,20170503,1,
01,어린이날,Y,20170505,1,
01,대통령선거일,Y,20170509,1,
01,현충일,Y,20170606,1,
01,제헌절,N,20170717,1,국경일(2014. 12. 30. 법률 12915호)이지만 관공서의 공휴일(2013. 11. 05. 대통령령 24828호)이 아님.
01,광복절,Y,20170815,1,
01,임시공휴일,Y,20171002,2,
01,개천절,Y,20171003,1,
01,추석,Y,20171003,2,
01,추석,Y,20171004,1,
01,추석,Y,20171005,1,
01,대체공휴일,Y,20171006,1,
01,한글날,Y,20171009,1,
01,기독탄신일,Y,20171225,1,
